Nome,Descricao
Aatrox,a Espada Darkin
Postura do Arauto da Morte,"Periodicamente, o próximo ataque básico de Aatrox causa Dano Físico adicional e o cura com base na Vida máxima do alvo. "
A Espada Darkin,"Aatrox bate sua espada no chão, causando Dano Físico. Ele pode bater até três vezes, cada vez em uma área de ação diferente."
Correntes Infernais,"Aatrox bate no chão, causando dano ao primeiro inimigo atingido. Campeões e Monstros Grandes precisam sair da área de impacto rapidamente ou serão arrastados para o centro e receberão dano novamente."
Avanço Umbral,"Passivamente, Aatrox se cura quando causa dano a Campeões inimigos. Quando ativado, ele avança em uma direção."
Aniquilador de Mundos,"Aatrox libera sua forma demoníaca, aterrorizando tropas inimigas próximas, ganhando Dano de Ataque, cura aumentada e Velocidade de Movimento. Se ele conseguir um abate, este efeito é estendido."
Karthus,a Voz Mortal
Desafio da Morte,"Ao morrer, Karthus entra em forma de espírito e pode continuar conjurando habilidades."
Devastar,"Karthus desfere uma explosão em um local após um intervalo, causando dano a inimigos próximos. Causa mais dano a inimigos isolados."
Barreira da Dor,Karthus cria uma barreira transponível de energia parasita. Qualquer unidade inimiga que atravessá-la tem sua Velocidade de Movimento e Resistência Mágica reduzidas por um período de tempo.
Perverter,"Karthus passivamente rouba energia de suas vítimas, recebendo Mana a cada abate. Ele também pode se cercar das almas de suas presas, causando dano a inimigos próximos, mas drenando rapidamente a própria Mana."
Réquiem,"Após canalizar por 3 segundos, Karthus causa dano a todos os Campeões inimigos."
Karma,a Iluminada
Ímpeto Ardente,Atacar e conjurar habilidades em Campeões inimigos reduz o Tempo de Recarga de Mantra.
Chama Interior,"Karma dispara uma esfera de energia espiritual que explode e causa dano ao atingir uma unidade inimiga.

Efeito de Mantra: Além da explosão, Mantra aumenta o poder destrutivo de sua Chama Interior, criando um cataclisma que causa dano depois de um breve intervalo."
Decisão Absorta,"Karma cria um vínculo entre ela e o inimigo-alvo, causando dano e revelando-o. Se o vínculo não for quebrado, o inimigo será enraizado e sofrerá dano novamente.

Efeito de Mantra: Karma fortalece o vínculo, se curando e prolongando a duração do enraizamento."
Inspiração,"Karma invoca um escudo protetor que absorve o dano sofrido e aumenta a Velocidade de Movimento do aliado protegido.

Efeito de Mantra: o alvo irradia energia, fortalecendo o Escudo inicial e aplicando Inspiração a Campeões aliados próximos."
Mantra,Karma fortalece sua próxima habilidade para dar um efeito adicional. Mantra está disponível no nível 1 e não exige um ponto de habilidade.
Kalista,a Lança da Vingança
Aprumo Marcial,Realize um comando de movimentação enquanto Kalista carrega seu ataque básico ou Perfurar para saltar em uma curta distância quando ela lançar o ataque.
Perfurar,Arremessa uma lança de movimento rápido que atravessa os inimigos que abate.
Vigia,"Ganha dano adicional quando Kalista e seu aliado Em Juramento atingem o mesmo alvo. 

Ative para enviar uma alma para patrulhar um caminho, revelando a área à sua frente."
Lacerar,"Os ataques empalam seus alvos com lanças. Ative para arrancar as lanças, causando Lentidão e dano crescente."
Chamado do Destino,"Kalista teleporta o aliado em Juramento para si mesma. Eles recebem a capacidade de avançar em uma direção, empurrando para trás os inimigos atingidos."
Kai'Sa,a Filha do Vazio
Segunda Pele,"Os ataques básicos de Kai'Sa acumulam Plasma, causando Dano Mágico adicional crescente. Efeitos imobilizadores de aliados ajudam a acumular Plasma. Além disso, as aquisições de itens de Kai'Sa aprimoram suas habilidades básicas, deixando-as mais poderosas."
Chuva Icathiana,"Kai'Sa dispara uma chuva de projéteis que correm atrás de alvos próximos.

Arma Viva: Chuva Icathiana é aprimorada e lança mais mísseis."
Exploradora do Vazio,"Kai'Sa lança um projétil de longo alcance, marcando inimigos com sua passiva.

Arma Viva: Exploradora do Vazio é aprimorada e aplica mais marcas passivas e tem o Tempo de Recarga reduzido ao acertar um Campeão."
Sobrecarga,"Kai'Sa aumenta brevemente sua Velocidade de Movimento, depois aumenta sua Velocidade de Ataque.

Arma Viva: Sobrecarga é aprimorada e concede Invisibilidade por um breve momento."
Instinto Assassino,Kai'Sa avança para perto de um Campeão inimigo.
Jinx,o Gatilho Desenfreado
Anime-se!,Jinx recebe um aumento drástico de Velocidade de Movimento e de Velocidade de Ataque sempre que ajuda a destruir uma estrutura ou a abater um Campeão inimigo ou monstro épico da selva.
Trocando!,"Jinx modifica seus ataques básicos ao trocar entre Pow-Pow, sua metralhadora, e Fishbones, seu lança-mísseis. Ataques com Pow-Pow concedem Velocidade de Ataque, enquanto ataques com Fishbones causam dano em área de ação e recebem aumento de alcance, mas drenam Mana e reduzem a Velocidade de Ataque."
Zap!,"Jinx usa Zapper, sua pistola de choques, para disparar um projétil que causa dano ao primeiro inimigo atingido, reduzindo sua velocidade e revelando-o."
Mordidinha Flamejante!,"Jinx arremessa uma fileira de granadas-armadilha que explodem após 5 segundos, deixando os inimigos em chamas. As Mordidinhas Flamejantes morderão campeões inimigos que caminharem sobre elas, enraizando-os no local."
Super Mega Míssil da Morte!,"Jinx dispara um super-míssil no mapa, que acumula dano ao longo de seu trajeto. O míssil explodirá ao colidir com um campeão inimigo, causando dano a ele e a inimigos ao seu redor, com base em sua Vida removida."
Jhin,o Virtuoso
Sussurro,"Sussurro, o canhão de mão de Jhin, é um instrumento preciso que foi projetado para causar muito dano. Ele dispara com frequência fixa e carrega apenas quatro projéteis. Jhin encanta o projétil final com magia sombria para causar Acerto Crítico e dano de execução adicional. Sempre que causa um Acerto Crítico, Sussurro inspira Jhin com um impulso de Velocidade de Movimento."
Granada Dançante,Jhin lança um cartucho mágico em um inimigo. Ele pode atingir até quatro alvos e acumula dano a cada vez que causa um abate.
Florescer Mortal,"Jhin brande sua bengala, fazendo um disparo único com incrível alcance. Ele atravessa tropas e monstros, mas para no primeiro Campeão atingido. Se o alvo foi recentemente atingido por aliados de Jhin, por Armadilhas de Lótus ou recebeu dano de Jhin, ele será enraizado."
